path,part
Sandbox/Vessel/SVC.csv,CT-chest
Sandbox/Vessel/PulmonaryVascular.csv,CT-chest
Sandbox/Organ/lung_airwaymask.csv,CT-chest
Sandbox/Organ/lungmask_left.csv,CT-chest
Sandbox/Organ/lungmask_right.csv,CT-chest
Sandbox/Organ/heart_atrial_volume.csv,Heart
Sandbox/Organ/heart_LV_wall_thickness.csv,Heart
Sandbox/Organ/heart_ventricular_volume.csv,Heart
Sandbox/Vessel/HepaticVein.csv,MR-abdomen
Sandbox/Vessel/PortalVein.csv,MR-abdomen
Sandbox/Vessel/SV.csv,MR-abdomen
Sandbox/Vessel/R_RA.csv,MR-abdomen
Sandbox/Vessel/AA.csv,MR-abdomen
Sandbox/Organ/kidney_dADC_metrics_left.csv,MR-abdomen
Sandbox/Organ/kidney_dADC_metrics_right.csv,MR-abdomen
Sandbox/Organ/kidney_fat_fraction_metrics_left.csv,MR-abdomen
Sandbox/Organ/kidney_fat_fraction_metrics_right.csv,MR-abdomen
Sandbox/Organ/kidney_t2Star_metrics_left.csv,MR-abdomen
Sandbox/Organ/kidney_t2Star_metrics_right.csv,MR-abdomen
Sandbox/Organ/kidney_water_left.csv,MR-abdomen
Sandbox/Organ/kidney_water_right.csv,MR-abdomen
Sandbox/Organ/liver_dADC_metrics.csv,MR-abdomen
Sandbox/Organ/liver_fat_fraction_metrics.csv,MR-abdomen
Sandbox/Organ/liver_t2Star_metrics.csv,MR-abdomen
Sandbox/Organ/liver_water.csv,MR-abdomen
Sandbox/Organ/spleen_dADC_metrics.csv,MR-abdomen
Sandbox/Organ/spleen_fat_fraction_metrics.csv,MR-abdomen
Sandbox/Organ/spleen_t2Star_metrics.csv,MR-abdomen
Sandbox/Organ/spleen_water.csv,MR-abdomen
Sandbox/Organ/pancreas_body.csv,MR-abdomen
Sandbox/Organ/pancreas_head.csv,MR-abdomen
Sandbox/Organ/pancreas_tail.csv,MR-abdomen
Sandbox/Organ/prostate_CZ.csv,MR-pelvis-male
Sandbox/Organ/prostate_PZ.csv,MR-pelvis-male
Sandbox/Organ/prostate_T2.csv,MR-pelvis-male
Sandbox/Organ/uterus_cervix.csv,MR-pelvis-female
Sandbox/Organ/uterus_corpus.csv,MR-pelvis-female
Sandbox/Organ/uterus_fundus.csv,MR-pelvis-female
Sandbox/Organ/uterus_T2.csv,MR-pelvis-female
Sandbox/Organ/brain_volume_aal3.csv,Brain
Sandbox/Vessel/CerebralVessel.csv,Brain
